type,ident,lat,long,y_proj,x_proj,comment,altitude,model,ltime
WAYPOINT,001,35.26978447,-115.06037554,3904685.94953318,676423.447905925,12-JUL-12 8:58:53,1249,GPSMap60, 
WAYPOINT,002,35.26977072,-115.06037931,3904684.41764258,676423.134779263,12-JUL-12 8:58:54,1249,GPSMap60, 
WAYPOINT,003,35.26975849,-115.06037856,3904683.0623948,676423.22953383,12-JUL-12 8:58:55,1249,GPSMap60, 
WAYPOINT,004,35.26974550,-115.06037889,3904681.62092471,676423.227690749,12-JUL-12 8:58:56,1249,GPSMap60, 
WAYPOINT,005,35.26973552,-115.06037755,3904680.51630206,676423.371236383,12-JUL-12 8:58:57,1249,GPSMap60, 
WAYPOINT,006,35.26969420,-115.06038308,3904675.92314781,676422.957806351,12-JUL-12 8:59:01,1248,GPSMap60, 
WAYPOINT,007,35.26966847,-115.06039163,3904673.05390286,676422.235834052,12-JUL-12 8:59:03,1248,GPSMap60, 
WAYPOINT,008,35.26965505,-115.06039247,3904671.56382891,676422.188529311,12-JUL-12 8:59:04,1248,GPSMap60, 
WAYPOINT,009,35.26962681,-115.06038970,3904668.43630558,676422.501767643,12-JUL-12 8:59:06,1248,GPSMap60, 
WAYPOINT,010,35.26961138,-115.06039272,3904666.71939948,676422.260510651,12-JUL-12 8:59:07,1248,GPSMap60, 
WAYPOINT,011,35.26959823,-115.06039046,3904665.26478915,676422.494623568,12-JUL-12 8:59:08,1248,GPSMap60, 
WAYPOINT,012,35.26958456,-115.06039306,3904663.74385376,676422.287755797,12-JUL-12 8:59:10,1248,GPSMap60, 
WAYPOINT,013,35.26955456,-115.06039540,3904660.4120168,676422.139960743,12-JUL-12 8:59:12,1248,GPSMap60, 
WAYPOINT,014,35.26954542,-115.06039691,3904659.39549923,676422.02242298,12-JUL-12 8:59:13,1248,GPSMap60, 
WAYPOINT,015,35.26952991,-115.06039146,3904657.68478649,676422.551845815,12-JUL-12 8:59:15,1248,GPSMap60, 
WAYPOINT,016,35.26951876,-115.06038811,3904656.45396012,676422.880776892,12-JUL-12 8:59:16,1248,GPSMap60, 
WAYPOINT,017,35.26950225,-115.06038878,3904654.62143815,676422.85563911,12-JUL-12 8:59:17,1248,GPSMap60, 
WAYPOINT,018,35.26948951,-115.06039364,3904653.19964041,676422.441163913,12-JUL-12 8:59:18,1248,GPSMap60, 
WAYPOINT,019,35.29831773,-115.05715035,3907856.68030536,676654.822572523,18-JUL-12 12:20:33,1221,GPSMap60, 
WAYPOINT,020,35.10086238,-115.04307780,3885979.76706655,678365.907765117,19-SEP-12 13:50:59,1057,GPSMap60, 
WAYPOINT,11CA698209,34.25212470,-116.43501277,3790255.45530079,552022.096267116,21-AUG-12 8:48:13,0,GPSMap60, 
WAYPOINT,11CA795070,35.10408615,-115.03132638,3886358.45910239,679430.073270618,12-SEP-12 13:34:01,1164,GPSMap60, 
WAYPOINT,12CA071089,35.20614588,-115.46524250,3896982.55929427,639703.743854751,12-JUN-12 13:01:35,1318,GPSMap60, 
WAYPOINT,12CA071090,35.19407837,-115.46523915,3895644.11646927,639724.720460331,12-JUN-12 15:34:10,1315,GPSMap60, 
WAYPOINT,12CA071091,35.09979512,-115.15055258,3885674.19278628,668571.058629795,13-JUN-12 8:30:58,1163,GPSMap60, 
WAYPOINT,12CA071092,35.09624261,-115.12920337,3885316.49743486,670524.591529296,13-JUN-12 9:56:14,1157,GPSMap60, 
WAYPOINT,12CA071093,35.11270735,-115.08889681,3887212.5014109,674163.959953698,13-JUN-12 13:58:10,1118,GPSMap60, 
WAYPOINT,12CA071094,35.14134119,-115.07476685,3890413.37122637,675390.388005827,14-JUN-12 10:46:31,1108,GPSMap60, 
WAYPOINT,12CA071095,35.15031142,-115.08868718,3891383.89686002,674102.967351362,14-JUN-12 13:41:30,1128,GPSMap60, 
WAYPOINT,12CA071096,35.13015026,-115.05921297,3889199.59987096,676831.742530447,15-JUN-12 9:57:54,1088,GPSMap60, 
WAYPOINT,12CA071097,35.14410018,-115.09221646,3890688.77584446,673794.655147174,15-JUN-12 12:55:45,1123,GPSMap60, 
WAYPOINT,12CA795098,35.10161089,-115.01936423,3886105.52105037,680525.936149895,19-JUN-12 11:34:24,1034,GPSMap60, 
